sample_id,soil_type,mean_speed,std_speed,mean_accel_x,std_accel_x,mean_accel_y,std_accel_y,mean_accel_z,std_accel_z,mean_gyro_x,std_gyro_x,mean_gyro_y,std_gyro_y,mean_gyro_z,std_gyro_z,speed_drop,rms_accel_z,cluster_label
0,gravel,0.0,0.0,2.2404116116471657,0.6538343347727694,-1.0534113215696348,0.5544500074723294,9.396979650210934,0.16816980245595925,-1.789729436796875,1.2287338709345361,2.705316308046875,3.859098856121625,-1.152343765078125,6.230854632328321,0.0,9.398472571805472,1
1,gravel,0.0,0.0,3.4020109272243557,1.1345557308864778,-0.9241992508992902,0.3907803471309526,9.043535647751693,0.09959559253281267,-0.696932173671875,1.0075168265975967,1.8902439025,7.022489308409633,-0.12147481750000005,6.7102386553453,0.0,9.04407976522855,1
2,gravel,0.0,0.0,1.9826982514947509,2.6102617856481993,-1.7155577179269548,1.8465282226632063,9.027935908042204,2.0139951130720375,1.43102136671875,4.218369287815464,-13.882907791875,13.738855897550986,-13.980563931406248,27.409145423699183,0.0,9.24814112120545,5
3,gravel,0.0,0.0,0.04182371124684238,1.3711939249908094,-1.7289128681708625,1.7552174598692887,9.811513231890537,1.1011335923483017,0.04239709468750005,3.349702258195485,-5.771722531484375,7.567920315959563,16.253334615078124,31.263034084897715,0.0,9.872629562031745,1
4,gravel,0.5647265625000002,0.5941742462270045,-0.5238438424231098,1.4663301820604413,-1.7579799698013399,2.190602318326551,9.49188732634871,2.0475717307483308,0.01572027726562497,5.137555692757084,1.21855946703125,8.702784211550668,-1.7049353121093747,27.504481545451753,-1.185,9.708538546652742,1
5,gravel,1.264625,0.050972124541899894,-0.019826980621114862,1.1603192539621503,-1.620463018718833,1.995654010292869,9.813907456535027,2.916175444474239,2.6876905895312504,5.925069442039642,-2.5685975265625,4.517875124038161,9.96189025703125,9.7739448373899,-0.11199999999999988,10.234765296256626,1
6,gravel,1.9035390625000002,0.17027305085636155,-0.5019593427161844,1.3485846156192678,-2.5033622843839236,2.308495512477027,9.488108923396041,2.9279182245552953,0.9132050168749999,10.533485901550854,-1.6806402277343753,6.195283527965756,-7.061737821875001,16.137991060130474,-0.7929999999999999,9.926224952774593,1
7,gravel,2.1665625000000004,0.09600227605569583,-0.5561655615407974,1.5329187221427119,-2.219013436109959,1.7915984718511333,9.433603421265762,2.6284366883632844,1.4405488171874998,4.5631379595486825,-3.0835556527343746,4.994104369710245,2.091272841640625,19.682628574154613,-0.19600000000000017,9.790177673384967,1
8,gravel,2.355125,0.0546541020065442,-0.6317699633074045,1.6782182057865989,-2.7671359827195623,2.0379947113902444,9.399411266539273,3.135219793063314,3.8886242161718747,7.59029225397861,-0.47541920195312504,6.504841277989336,-0.7383764899218749,29.19094167983764,-0.1120000000000001,9.904632327034943,1
9,gravel,2.772414062499999,0.167928299629446,-0.9171288802776127,2.3775626203472857,-2.696619254022008,2.1885840226976327,9.558513446725716,3.1597533112993776,3.1092796896875,8.823140104441052,-0.18721417148437525,10.415793731330634,-23.911013557187502,20.147081762824058,-0.6059999999999999,10.063360272755958,1
10,gravel,2.9514531249999996,0.08118568775140908,-1.8297686141928697,1.8705020823222127,-2.1214123068703095,2.829979499964226,9.261108689601574,4.796952375316988,3.6837842559375003,10.25505497793312,7.133669972890625,9.927786728104321,-18.17073169953125,23.276360596852562,0.17700000000000005,10.421089902258863,0
11,gravel,2.9002812499999995,0.07019780124200906,-0.7050175637742897,1.4205194730748754,-2.220173127213486,1.5328638756809454,9.461884930291719,1.8919676443703741,-1.10423018203125,12.66649089984308,7.595274401796875,4.956392387686332,15.81745428625,18.040987288582535,-0.14000000000000012,9.647737705438049,1
12,gravel,2.741171874999999,0.12816697459167967,-0.12341361623297437,1.9302080864391793,-2.4695441883399103,2.2851274828567187,9.237727803690312,2.769011824308748,-3.6928353533593747,17.007882593918204,-2.66482471515625,10.634985967977121,-5.907012133437501,26.477436239031903,0.29800000000000004,9.640702240440527,1
13,gravel,2.824531249999999,0.01967209042609054,-0.6646528200068642,2.1799375256913245,-2.863240737032524,2.917543691435497,9.619528214231032,3.8317463509387064,6.691596792734376,18.006410591708082,4.803258352265625,13.606752809687578,16.085175323515625,25.00410347042068,-0.15799999999999992,10.349052992861417,0
14,gravel,2.889343749999999,0.06985343909039779,0.5622258789078745,2.452974028797074,-2.9507413224025503,2.853020442185626,9.227814335827789,5.046918508400113,4.926162329609376,10.70597257782164,-10.757907766328126,9.958422986289152,13.8852898096875,28.340614421385016,-0.14000000000000012,10.50832758532264,5
15,gravel,2.7479687499999987,0.1536684198777242,-0.12389993757561962,2.902514957640915,-2.8036475544782036,3.1948924938429477,9.208623330517927,4.210090988083271,-2.341844482265625,12.516877098206036,-4.0815549056250005,10.950534088567212,19.02391389171875,22.730489901055748,0.32600000000000007,10.118553960654385,5
16,gravel,3.0448281250000004,0.13644427834291806,0.012307673491307541,7.244394867404926,-2.9149779219262806,4.699774939369544,9.519383201352374,6.86958082452683,8.050209623125,10.893447861663795,1.092797266093751,28.589754088262655,-2.5795540682031257,38.28124138673456,-0.4660000000000002,11.723528327774918,2
17,gravel,3.1530546875,0.06279278615893985,-0.14054711301449807,6.093810669542059,-3.482740415640273,5.880142210932293,8.761580942933882,7.466376010841468,3.67139858234375,16.362061038506123,-12.79582700390625,18.613822379583755,7.789157926562501,55.54528364593596,-0.13099999999999978,11.492456208682366,3
